label,pred,pred_proba
"[0.0, 1.0]",1,0.8889332413673401
"[0.0, 1.0]",1,0.9074569940567017
"[0.0, 1.0]",1,0.7806644439697266
"[0.0, 1.0]",1,0.9171628355979919
"[0.0, 1.0]",1,0.9734349846839905
"[0.0, 1.0]",1,0.9634470343589783
"[0.0, 1.0]",0,0.032354746013879776
"[0.0, 1.0]",1,0.9764926433563232
"[0.0, 1.0]",0,0.2535187602043152
"[0.0, 1.0]",1,0.904598593711853
"[0.0, 1.0]",1,0.8964591026306152
"[0.0, 1.0]",1,0.8279878497123718
"[0.0, 1.0]",1,0.8251534104347229
"[0.0, 1.0]",1,0.9558064937591553
"[0.0, 1.0]",1,0.959962785243988
"[0.0, 1.0]",1,0.9145928621292114
"[0.0, 1.0]",1,0.9605938792228699
"[0.0, 1.0]",0,0.03326205536723137
"[0.0, 1.0]",1,0.700268566608429
"[0.0, 1.0]",1,0.9754061698913574
"[0.0, 1.0]",0,0.3960985243320465
"[0.0, 1.0]",1,0.7281225323677063
"[0.0, 1.0]",1,0.6560556292533875
"[0.0, 1.0]",1,0.8891629576683044
"[0.0, 1.0]",1,0.9166423082351685
"[0.0, 1.0]",1,0.7411302924156189
"[0.0, 1.0]",0,0.4055880606174469
"[0.0, 1.0]",1,0.9819806218147278
"[0.0, 1.0]",1,0.618553638458252
"[0.0, 1.0]",1,0.9444758892059326
"[0.0, 1.0]",1,0.9699039459228516
"[0.0, 1.0]",1,0.983470618724823
"[0.0, 1.0]",1,0.973365306854248
"[0.0, 1.0]",1,0.9005739092826843
"[0.0, 1.0]",1,0.5438095927238464
"[0.0, 1.0]",1,0.9292294979095459
"[0.0, 1.0]",0,0.10723726451396942
"[0.0, 1.0]",1,0.9538150429725647
"[0.0, 1.0]",1,0.6750749945640564
"[0.0, 1.0]",1,0.8750998377799988
"[0.0, 1.0]",1,0.53895103931427
"[0.0, 1.0]",0,0.053317841142416
"[0.0, 1.0]",1,0.7946500182151794
"[0.0, 1.0]",1,0.5445427894592285
"[0.0, 1.0]",1,0.9400152564048767
"[0.0, 1.0]",1,0.8562345504760742
"[0.0, 1.0]",1,0.8638876080513
"[0.0, 1.0]",1,0.7870255708694458
"[0.0, 1.0]",1,0.7530124187469482
"[0.0, 1.0]",1,0.9453918933868408
"[0.0, 1.0]",1,0.7613335847854614
"[0.0, 1.0]",1,0.7429977059364319
"[0.0, 1.0]",1,0.9732285141944885
"[0.0, 1.0]",1,0.9662116765975952
"[0.0, 1.0]",0,0.13927589356899261
"[0.0, 1.0]",1,0.8584451079368591
"[0.0, 1.0]",1,0.6626589894294739
"[0.0, 1.0]",1,0.9230160713195801
"[0.0, 1.0]",0,0.018933717161417007
"[0.0, 1.0]",1,0.9160012006759644
"[0.0, 1.0]",1,0.8630167841911316
"[0.0, 1.0]",1,0.9047843813896179
"[0.0, 1.0]",1,0.7506859302520752
"[0.0, 1.0]",1,0.5981993675231934
"[0.0, 1.0]",1,0.7516384124755859
"[0.0, 1.0]",1,0.5561051964759827
"[0.0, 1.0]",0,0.28391820192337036
"[0.0, 1.0]",0,0.14454412460327148
"[0.0, 1.0]",0,0.0662982314825058
"[0.0, 1.0]",1,0.9769123792648315
"[0.0, 1.0]",1,0.8308002948760986
"[0.0, 1.0]",1,0.6104186773300171
"[0.0, 1.0]",0,0.07753872871398926
"[0.0, 1.0]",1,0.9649432897567749
"[0.0, 1.0]",1,0.9742932319641113
"[0.0, 1.0]",1,0.5687242746353149
"[0.0, 1.0]",1,0.8553028106689453
"[0.0, 1.0]",0,0.1865559220314026
"[0.0, 1.0]",1,0.9155333042144775
"[0.0, 1.0]",1,0.9742583632469177
"[0.0, 1.0]",1,0.9768772125244141
"[0.0, 1.0]",1,0.9513397812843323
"[0.0, 1.0]",1,0.9549816846847534
"[0.0, 1.0]",1,0.7856175899505615
"[0.0, 1.0]",1,0.8086875081062317
"[0.0, 1.0]",1,0.9215404987335205
"[0.0, 1.0]",1,0.5309154391288757
"[0.0, 1.0]",1,0.5383697748184204
"[0.0, 1.0]",1,0.6712466478347778
"[0.0, 1.0]",0,0.19711458683013916
"[0.0, 1.0]",1,0.8722224235534668
"[0.0, 1.0]",1,0.9110831022262573
"[0.0, 1.0]",1,0.6035898327827454
"[0.0, 1.0]",1,0.9054630398750305
"[0.0, 1.0]",1,0.7398456335067749
"[0.0, 1.0]",1,0.8498657941818237
"[0.0, 1.0]",1,0.8368922472000122
"[0.0, 1.0]",1,0.9367963075637817
"[0.0, 1.0]",1,0.9554300308227539
"[0.0, 1.0]",1,0.7881632447242737
"[0.0, 1.0]",1,0.8346704244613647
"[0.0, 1.0]",1,0.9444571733474731
"[0.0, 1.0]",1,0.980680525302887
"[0.0, 1.0]",1,0.9480492472648621
"[0.0, 1.0]",1,0.9404459595680237
"[0.0, 1.0]",1,0.5333105325698853
"[0.0, 1.0]",0,0.012074022553861141
"[0.0, 1.0]",1,0.8478789925575256
"[0.0, 1.0]",0,0.39563316106796265
"[0.0, 1.0]",1,0.7650293707847595
"[0.0, 1.0]",0,0.046706560999155045
"[0.0, 1.0]",0,0.2007477879524231
"[0.0, 1.0]",0,0.30048424005508423
"[0.0, 1.0]",1,0.8809139728546143
"[0.0, 1.0]",1,0.9016736149787903
"[0.0, 1.0]",0,0.3155856132507324
"[0.0, 1.0]",1,0.9673389792442322
